"title","release_date","rating","director","writer","genres","runtime","original_language","budget","revenue"
"Burlesque","23/11/2010 (US)","72","Steve Antin","Steve Antin","Dram,Romantik","1h 59m","İngilizce","$55,000,000.00","$89,500,000.00"
"Busty Girlfriend","08/03/2019 (KR)","70","Junsei","","Romantik","1h 11m","Korece","-","-"
"But I'm a Cheerleader","07/07/2000 (US)","70","Jamie Babbit","","Komedi,Romantik","1h 25m","İngilizce","$1,200,000.00","$2,600,000.00"
"Buz Devri","31/01/2003 (TR)","74","Chris Wedge","","Animasyon,Komedi,Aile,Macera","1h 21m","İngilizce","$59,000,000.00","$383,257,136.00"
"Buz Devri 2: Erime Başlıyor","14/04/2006 (TR)","67","Carlos Saldanha","","Animasyon,Aile,Komedi,Macera","1h 31m","İngilizce","$80,000,000.00","$660,998,756.00"
"Buz Devri 4: Kıtalar Ayrılıyor","29/06/2012 (TR)","64","Steve Martino","","Animasyon,Komedi,Macera,Aile","1h 28m","İngilizce","$95,000,000.00","$877,244,782.00"
"Buz Devri Bir Yılbaşı Macerası","24/11/2011 (US)","65","Karen Disher","Mike Reiss","Animasyon,Aile,TV film","26m","İngilizce","-","-"
"Buz Devri: Buck Wild'ın Maceraları","28/01/2022 (US)","66","John C. Donkin","","Animasyon,Komedi,Macera,Aile","1h 22m","İngilizce","-","-"
"Buz Fırtınası","27/09/1997 (US)","69","Ang Lee","","Dram","1h 52m","İngilizce","$18,000,000.00","$8,038,061.00"
"Bütün Kadınlar Bunu Yapar","21/02/1992 (IT)","49","Tinto Brass","","Komedi,Dram","1h 33m","İtalyanca","-","-"
"Bütün Köpekler Cennete Gider","17/11/1989 (US)","67","Don Bluth","","Dram,Animasyon,Aile,Komedi,Fantastik","1h 29m","İngilizce","$13,800,000.00","$27,100,027.00"
"Büyü Caddeler Üzerine","18/02/2021 (RU)","67","Oleg Pogodin","","Macera,Fantastik","1h 40m","Rusça","$8,020,000.00","-"
"Büyü de Gel","23/06/2023 (TR)","68","Gene Stupnitsky","Gene Stupnitsky","Komedi,Romantik","1h 44m","İngilizce","$45,000,000.00","$83,000,000.00"
"Büyücü Kurt Kabusu","23/08/2021 (US)","75","Han Kwang-il","","Animasyon,Aksiyon,Fantastik","1h 23m","İngilizce","-","-"
